"location","percentage"
"Gambia",0.013747253782804477
"Malawi",0.01316323519192399
"Pakistan",0.012999477442717828
"Gabon",0.012808722656411874
"Cook Islands",0.011742602160638799
"Senegal",0.011382239271647564
"Tonga",0.011228910702087641
"Equatorial Guinea",0.0109259210611159
"Sudan",0.010764983722388861
"Rwanda",0.010655670711321185
"Kenya",0.010527974983991481
"Timor",0.01028854139795929
"Laos",0.00891164153898073
"China",0.008483208659623718
"Guinea-Bissau",0.008358742009327597
"Nauru",0.007879599716334411
"Somalia",0.00773404961657071
"Uganda",0.00768683951275935
"Haiti",0.007423390395324025
"Cameroon",0.007060835889766703
"Mozambique",0.006803253429227965
"Papua New Guinea",0.006605784991557906
"Congo",0.00651544361126418
"Low income",0.006495482879791065
"Yemen",0.00640717232937246
"Ethiopia",0.006138761890021527
"Liberia",0.005544355789231503
"Angola",0.00543426400677333
"Madagascar",0.00480890706847877
"Uzbekistan",0.004727436295990995
"Ghana",0.004367324882071773
"Vanuatu",0.0042846999485836
"Nicaragua",0.0035259941324579276
"Guinea",0.0033695666369322253
"Mali",0.0032885421790721423
"Togo",0.0032773175720727334
"Cote d'Ivoire",0.002961590094056408
"Eritrea",0.0027958429344298826
"Bhutan",0.002683853553613809
"Central African Republic",0.0020253988601843867
"Burkina Faso",0.0017465119598139948
"Democratic Republic of Congo",0.0014786352955739436
"Sierra Leone",0.0014641419436809667
"Nigeria",0.0014436636062279437
"Tanzania",0.0012916473835621106
"South Sudan",0.0012645269404715695
"Tajikistan",0.0012559293681399255
"Benin",0.0012207119012071117
"Niger",0.0012019239024202626
"Chad",0.0010946035368558653
"Burundi",0.00011637304325516195
