"location","percentage"
"Kenya",0.6349731184965045
"Algeria",0.6051213066463729
"Afghanistan",0.5224566393569932
"Senegal",0.5139447734443523
"Ghana",0.5127663597689918
"Gambia",0.4665936189830358
"Egypt",0.4648793167995819
"Papua New Guinea",0.4618331053351573
"Cameroon",0.4477343744346584
"Togo",0.44624634127046914
"Guinea-Bissau",0.44405816924552854
"Malawi",0.43438676133349163
"Congo",0.4219461579819209
"Burundi",0.41692582296882685
"Ethiopia",0.4059306956314645
"Uganda",0.36106558220147866
"Cote d'Ivoire",0.3136480156565135
"Low income",0.31135842508638434
"Angola",0.2961140010805587
"Haiti",0.29545093773389614
"Guinea",0.277516642376204
"Eritrea",0.2765712976592823
"Central African Republic",0.27543632110135813
"Tokelau",0.26413100898045433
"Syria",0.2595361442826253
"Madagascar",0.23043580247522283
"Nicaragua",0.22590828529466156
"Benin",0.2097976883461106
"Tajikistan",0.1787036779338937
"South Sudan",0.16831036842450572
"Somalia",0.15532881132942233
"Liberia",0.15256407596898933
"Mali",0.146696422588381
"Sudan",0.13652072995379122
"Nigeria",0.12202503714448078
"Burkina Faso",0.09727542370115523
"Democratic Republic of Congo",0.09717381083180346
"Sierra Leone",0.09019579180041003
"Tanzania",0.06560988535911888
"Chad",0.04412267865058179
"Niger",0.03629810185309193
"Yemen",0.03544866765833907
